GAME_ID,game_date,matchup,view_count,like_count,comment_count,pace_game,points,pct_pts_from_3pt,pct_fga_from_3pt,close_game,totalallstarsplayed,pct_pts_ft_game,pct_pts_fb_game,dunks,threes_more_than_28ft,highlight_plays,mov,avg_value_billions
22000541,2021-03-02,KNICKS at SPURS,289556.0,1671.0,416.0,93.0,212.0,0.466981,0.458824,1.0,1,0.127358490566038,0.10377358490566,2.0,6.0,8.0,26.0,5.6
22000540,2021-03-02,NUGGETS at BUCKS,537736.0,2938.0,646.0,96.5,225.0,0.293333,0.402299,0.0,2,0.146666666666667,0.128888888888889,17.0,3.0,20.0,31.0,4.15
22000542,2021-03-02,SUNS at LAKERS,1292353.0,9210.0,2523.0,93.5,218.0,0.37156,0.384615,0.0,3,0.160550458715596,0.055045871559633,5.0,1.0,6.0,10.0,5.8
22000543,2021-03-03,PACERS at CAVALIERS,170816.0,1060.0,266.0,100.5,225.0,0.253333,0.319277,1.0,1,0.115555555555556,0.102222222222222,11.0,3.0,14.0,3.0,3.875
22000539,2021-03-03,PISTONS at RAPTORS,238095.0,1156.0,648.0,96.0,234.0,0.410256,0.458333,0.0,0,0.162393162393162,0.0641025641025641,7.0,4.0,11.0,24.0,3.975
22000545,2021-03-03,JAZZ at 76ERS,769509.0,6046.0,1805.0,102.34,254.0,0.34252,0.357513,1.0,5,0.161417322834646,,7.0,1.0,8.0,8.0,4.325
22000546,2021-03-03,NETS at ROCKETS,1083220.0,8146.0,1168.0,101.0,246.0,0.426829,0.443182,0.0,2,0.150406504065041,0.117886178861789,11.0,3.0,14.0,18.0,5.65
22000548,2021-03-03,BULLS at PELICANS,306027.0,1998.0,412.0,103.5,252.0,0.214286,0.282486,0.0,2,0.182539682539683,0.107142857142857,,,,4.0,4.55
22000544,2021-03-03,HAWKS at MAGIC,160717.0,1049.0,309.0,98.0,227.0,0.449339,0.473373,0.0,1,0.198237885462555,,,,,3.0,3.925
22000547,2021-03-03,HORNETS at TIMBERWOLVES,205644.0,1527.0,297.0,111.0,237.0,0.329114,0.407216,0.0,0,0.130801687763713,0.147679324894515,12.0,0.0,12.0,33.0,3.3
